Serial Number:20565261 --
2022-07-11 12:19:00,29.93, , , , 
2022-07-11 12:20:00,29.93, , , , 
2022-07-11 12:21:00,29.94, , , , 
2022-07-11 12:22:00,29.89, , , , 
2022-07-11 12:23:00,29.87, , , , 
2022-07-11 12:24:00,29.90, , , , 
2022-07-11 12:25:00,29.90, , , , 
2022-07-11 12:26:00,29.91, , , , 
2022-07-11 12:27:00,29.88, , , , 
2022-07-11 12:28:00,29.86, , , , 
2022-07-11 12:29:00,29.85, , , , 
2022-07-11 12:30:00,29.83, , , , 
2022-07-11 12:31:00,29.87, , , , 
2022-07-11 12:32:00,29.89, , , , 
2022-07-11 12:33:00,29.88, , , , 
2022-07-11 12:34:00,29.85, , , , 
2022-07-11 12:35:00,29.79, , , , 
2022-07-11 12:36:00,29.78, , , , 
2022-07-11 12:37:00,29.79, , , , 
2022-07-11 12:38:00,29.81, , , , 
2022-07-11 12:39:00,29.80, , , , 
2022-07-11 12:40:00,29.78, , , , 
2022-07-11 12:41:00,29.75, , , , 
2022-07-11 12:42:00,29.74, , , , 
2022-07-11 12:43:00,29.74, , , , 
2022-07-11 12:44:00,29.77, , , , 
2022-07-11 12:45:00,29.76, , , , 
2022-07-11 12:46:00,29.74, , , , 
2022-07-11 12:47:00,29.71, , , , 
2022-07-11 12:48:00,29.70, , , , 
2022-07-11 12:49:00,29.70, , , , 
2022-07-11 12:50:00,29.72, , , , 
2022-07-11 12:51:00,29.72, , , , 
2022-07-11 12:52:00,29.71, , , , 
2022-07-11 12:53:00,29.68, , , , 
2022-07-11 12:54:00,29.66, , , , 
2022-07-11 12:55:00,29.64, , , , 
2022-07-11 12:56:00,29.67, , , , 
2022-07-11 12:57:00,29.70, , , , 
2022-07-11 12:58:00,29.67, , , , 
2022-07-11 12:59:00,29.62, , , , 
2022-07-11 13:00:00,29.60, , , , 
2022-07-11 13:01:00,29.59, , , , 
2022-07-11 13:02:00,29.61, , , , 
2022-07-11 13:03:00,29.65, , , , 
2022-07-11 13:04:00,29.66, , , , 
2022-07-11 13:05:00,29.64, , , , 
2022-07-11 13:06:00,29.60, , , , 
2022-07-11 13:07:00,29.60, , , , 
2022-07-11 13:08:00,29.59, , , , 
2022-07-11 13:09:00,29.62, , , , 
2022-07-11 13:10:00,29.64, , , , 
2022-07-11 13:11:00,29.64, , , , 
2022-07-11 13:12:00,29.64, , , , 
2022-07-11 13:13:00,29.65, , , , 
2022-07-11 13:14:00,29.66, , , , 
2022-07-11 13:15:00,29.68, , , , 
2022-07-11 13:16:00,29.70, , , , 
2022-07-11 13:17:00,29.71, , , , 
2022-07-11 13:18:00,29.72, , , , 
2022-07-11 13:19:00,29.73, , , , 
2022-07-11 13:20:00,29.75, , , , 
2022-07-11 13:21:00,29.77, , , , 
2022-07-11 13:22:00,29.75, , , , 
2022-07-11 13:23:00,29.70, , , , 
2022-07-11 13:24:00,29.68, , , , 
2022-07-11 13:25:00,29.71, , , , 
2022-07-11 13:26:00,29.68, , , , 
2022-07-11 13:27:00,29.70, , , , 
2022-07-11 13:28:00,29.72, , , , 
2022-07-11 13:29:00,29.68, , , , 
2022-07-11 13:30:00,29.70, , , , 
2022-07-11 13:31:00,29.71, , , , 
2022-07-11 13:32:00,29.72, , , , 
2022-07-11 13:33:00,29.71, , , , 
2022-07-11 13:34:00,29.75, , , , 
2022-07-11 13:35:00,29.75, , , , 
2022-07-11 13:36:00,29.75, , , , 
2022-07-11 13:37:00,29.77, , , , 
2022-07-11 13:38:00,29.77, , , , 
2022-07-11 13:39:00,29.77, , , , 
2022-07-11 13:40:00,29.75, , , , 
2022-07-11 13:41:00,29.75, , , , 
2022-07-11 13:42:00,29.74, , , , 
2022-07-11 13:43:00,29.76, , , , 
2022-07-11 13:44:00,29.77, , , , 
2022-07-11 13:45:00,29.75, , , , 
2022-07-11 13:46:00,29.73, , , , 
2022-07-11 13:47:00,29.75, , , , 
2022-07-11 13:48:00,29.74, , , , 
2022-07-11 13:49:00,29.74, , , , 
2022-07-11 13:50:00,29.74, , , , 
2022-07-11 13:51:00,29.74, , , , 
2022-07-11 13:52:00,29.70, , , , 
2022-07-11 13:53:00,29.64, , , , 
2022-07-11 13:54:00,29.61, , , , 
2022-07-11 13:55:00,29.62, , , , 
2022-07-11 13:56:00,29.64, , , , 
2022-07-11 13:57:00,29.64, , , , 
2022-07-11 13:58:00,29.61, , , , 
2022-07-11 13:59:00,29.59, , , , 
2022-07-11 14:00:00,29.59, , , , 
2022-07-11 14:01:00,29.64, , , , 
2022-07-11 14:02:00,29.65, , , , 
2022-07-11 14:03:00,29.62, , , , 
2022-07-11 14:04:00,29.62, , , , 
2022-07-11 14:05:00,29.59, , , , 
2022-07-11 14:06:00,29.58, , , , 
2022-07-11 14:07:00,29.59, , , , 
2022-07-11 14:08:00,29.62, , , , 
2022-07-11 14:09:00,29.62, , , , 
2022-07-11 14:10:00,29.61, , , , 
2022-07-11 14:11:00,29.60, , , , 
2022-07-11 14:12:00,29.62, , , , 
2022-07-11 14:13:00,29.66, , , , 
2022-07-11 14:14:00,29.67, , , , 
2022-07-11 14:15:00,29.67, , , , 
2022-07-11 14:16:00,29.67, , , , 
2022-07-11 14:17:00,29.67, , , , 
2022-07-11 14:18:00,29.67, , , , 
2022-07-11 14:19:00,29.68, , , , 
2022-07-11 14:20:00,29.71, , , , 
2022-07-11 14:21:00,29.67, , , , 
2022-07-11 14:22:00,29.66, , , , 
2022-07-11 14:23:00,29.63, , , , 
2022-07-11 14:24:00,29.66, , , , 
2022-07-11 14:25:00,29.64, , , , 
2022-07-11 14:26:00,29.66, , , , 
2022-07-11 14:27:00,29.67, , , , 
2022-07-11 14:28:00,29.65, , , , 
2022-07-11 14:29:00,29.60, , , , 
2022-07-11 14:30:00,29.58, , , , 
2022-07-11 14:31:00,29.56, , , , 
2022-07-11 14:32:00,29.57, , , , 
2022-07-11 14:33:00,29.51, , , , 
2022-07-11 14:34:00,29.45, , , , 
2022-07-11 14:35:00,29.41, , , , 
2022-07-11 14:36:00,29.36, , , , 
2022-07-11 14:37:00,29.32, , , , 
2022-07-11 14:38:00,29.32, , , , 
2022-07-11 14:39:00,29.32, , , , 
2022-07-11 14:40:00,29.29, , , , 
2022-07-11 14:41:00,29.21, , , , 
2022-07-11 14:42:00,29.17, , , , 
2022-07-11 14:43:00,29.18, , , , 
2022-07-11 14:44:00,29.18, , , , 
2022-07-11 14:45:00,29.21, , , , 
2022-07-11 14:46:00,29.24, , , , 
2022-07-11 14:47:00,29.23, , , , 
2022-07-11 14:48:00,29.18, , , , 
2022-07-11 14:49:00,29.16, , , , 
2022-07-11 14:50:00,29.16, , , , 
2022-07-11 14:51:00,29.20, , , , 
2022-07-11 14:52:00,29.24, , , , 
2022-07-11 14:53:00,29.27, , , , 
2022-07-11 14:54:00,29.28, , , , 
2022-07-11 14:55:00,29.29, , , , 
2022-07-11 14:56:00,29.35, , , , 
2022-07-11 14:57:00,29.35, , , , 
2022-07-11 14:58:00,29.41, , , , 
2022-07-11 14:59:00,29.46, , , , 
2022-07-11 15:00:00,29.48, , , , 
2022-07-11 15:01:00,29.46, , , , 
2022-07-11 15:02:00,29.45, , , , 
2022-07-11 15:03:00,29.50, , , , 
2022-07-11 15:04:00,29.51, , , , 
2022-07-11 15:05:00,29.54, , , , 
2022-07-11 15:06:00,29.54, , , , 
2022-07-11 15:07:00,29.54, , , , 
2022-07-11 15:08:00,29.57, , , , 
2022-07-11 15:09:00,29.61, , , , 
2022-07-11 15:10:00,29.63, , , , 
2022-07-11 15:11:00,29.64, , , , 
2022-07-11 15:12:00,29.65, , , , 
2022-07-11 15:13:00,29.66, , , , 
2022-07-11 15:14:00,29.66, , , , 
2022-07-11 15:15:00,29.66, , , , 
2022-07-11 15:16:00,29.70, , , , 
2022-07-11 15:17:00,29.75, , , , 
2022-07-11 15:18:00,29.75, , , , 
2022-07-11 15:19:00,29.75, , , , 
2022-07-11 15:20:00,29.78, , , , 
2022-07-11 15:21:00,29.77, , , , 
2022-07-11 15:22:00,29.79, , , , 
2022-07-11 15:23:00,29.76, , , , 
2022-07-11 15:24:00,29.77, , , , 
2022-07-11 15:25:00,29.71, , , , 
2022-07-11 15:26:00,29.66, , , , 
2022-07-11 15:27:00,29.65, , , , 
2022-07-11 15:28:00,29.64, , , , 
2022-07-11 15:29:00,29.63, , , , 
2022-07-11 15:30:00,29.64, , , , 
2022-07-11 15:31:00,29.64, , , , 
2022-07-11 15:32:00,29.64, , , , 
2022-07-11 15:33:00,29.64, , , , 
2022-07-11 15:34:00,29.63, , , , 
2022-07-11 15:35:00,29.67, , , , 
2022-07-11 15:36:00,29.67, , , , 
2022-07-11 15:37:00,29.70, , , , 
2022-07-11 15:38:00,29.70, , , , 
2022-07-11 15:39:00,29.67, , , , 
2022-07-11 15:40:00,29.74, , , , 
2022-07-11 15:41:00,29.75, , , , 
2022-07-11 15:42:00,29.75, , , , 
2022-07-11 15:43:00,29.76, , , , 
2022-07-11 15:44:00,29.75, , , , 
2022-07-11 15:45:00,29.76, , , , 
2022-07-11 15:46:00,29.77, , , , 
2022-07-11 15:47:00,29.76, , , , 
2022-07-11 15:48:00,29.72, , , , 
2022-07-11 15:49:00,29.72, , , , 
2022-07-11 15:50:00,29.67, , , , 
2022-07-11 15:51:00,29.65, , , , 
2022-07-11 15:52:00,29.65, , , , 
2022-07-11 15:53:00,29.66, , , , 
2022-07-11 15:54:00,29.70, , , , 
2022-07-11 15:55:00,29.67, , , , 
2022-07-11 15:56:00,29.64, , , , 
2022-07-11 15:57:00,29.59, , , , 
2022-07-11 15:58:00,29.54, , , , 
2022-07-11 15:59:00,29.49, , , , 
2022-07-11 16:00:00,29.49, , , , 
2022-07-11 16:01:00,29.50, , , , 
2022-07-11 16:02:00,29.51, , , , 
2022-07-11 16:03:00,29.54, , , , 
2022-07-11 16:04:00,29.54, , , , 
2022-07-11 16:05:00,29.54, , , , 
2022-07-11 16:06:00,29.53, , , , 
2022-07-11 16:07:00,29.54, , , , 
2022-07-11 16:08:00,29.57, , , , 
2022-07-11 16:09:00,29.59, , , , 
2022-07-11 16:10:00,29.59, , , , 
2022-07-11 16:11:00,29.59, , , , 
2022-07-11 16:12:00,29.59, , , , 
2022-07-11 16:13:00,29.63, , , , 
2022-07-11 16:14:00,29.68, , , , 
2022-07-11 16:15:00,29.68, , , , 
2022-07-11 16:16:00,29.70, , , , 
2022-07-11 16:17:00,29.70, , , , 
2022-07-11 16:18:00,29.71, , , , 
2022-07-11 16:19:00,29.73, , , , 
2022-07-11 16:20:00,29.76, , , , 
2022-07-11 16:21:00,29.75, , , , 
2022-07-11 16:22:00,29.75, , , , 
2022-07-11 16:23:00,29.67, , , , 
2022-07-11 16:24:00,29.64, , , , 
2022-07-11 16:25:00,29.68, , , , 
2022-07-11 16:26:00,29.70, , , , 
2022-07-11 16:27:00,29.70, , , , 
2022-07-11 16:28:00,29.70, , , , 
2022-07-11 16:29:00,29.66, , , , 
2022-07-11 16:30:00,29.62, , , , 
2022-07-11 16:31:00,29.62, , , , 
2022-07-11 16:32:00,29.64, , , , 
2022-07-11 16:33:00,29.66, , , , 
2022-07-11 16:34:00,29.65, , , , 
2022-07-11 16:35:00,29.66, , , , 
2022-07-11 16:36:00,29.66, , , , 
2022-07-11 16:37:00,29.66, , , , 
2022-07-11 16:38:00,29.65, , , , 
2022-07-11 16:39:00,29.68, , , , 
2022-07-11 16:40:00,29.68, , , , 
2022-07-11 16:41:00,29.68, , , , 
2022-07-11 16:42:00,29.65, , , , 
2022-07-11 16:43:00,29.70, , , , 
2022-07-11 16:44:00,29.71, , , , 
2022-07-11 16:45:00,29.70, , , , 
2022-07-11 16:46:00,29.70, , , , 
2022-07-11 16:47:00,29.71, , , , 
2022-07-11 16:48:00,29.68, , , , 
2022-07-11 16:49:00,29.68, , , , 
2022-07-11 16:50:00,29.68, , , , 
2022-07-11 16:51:00,29.66, , , , 
2022-07-11 16:52:00,29.65, , , , 
2022-07-11 16:53:00,29.64, , , , 
2022-07-11 16:54:00,29.61, , , , 
2022-07-11 16:55:00,29.56, , , , 
2022-07-11 16:56:00,29.54, , , , 
2022-07-11 16:57:00,29.52, , , , 
2022-07-11 16:58:00,29.56, , , , 
2022-07-11 16:59:00,29.57, , , , 
2022-07-11 17:00:00,29.53, , , , 
2022-07-11 17:01:00,29.59, , , , 
2022-07-11 17:02:00,29.60, , , , 
2022-07-11 17:03:00,29.60, , , , 
2022-07-11 17:04:00,29.60, , , , 
2022-07-11 17:05:00,29.61, , , , 
2022-07-11 17:06:00,29.62, , , , 
2022-07-11 17:07:00,29.65, , , , 
2022-07-11 17:08:00,29.67, , , , 
2022-07-11 17:09:00,29.68, , , , 
2022-07-11 17:10:00,29.70, , , , 
2022-07-11 17:11:00,29.70, , , , 
2022-07-11 17:12:00,29.67, , , , 
2022-07-11 17:13:00,29.67, , , , 
2022-07-11 17:14:00,29.67, , , , 
2022-07-11 17:15:00,29.68, , , , 
2022-07-11 17:16:00,29.67, , , , 
2022-07-11 17:17:00,29.65, , , , 
2022-07-11 17:18:00,29.59, , , , 
2022-07-11 17:19:00,29.57, , , , 
2022-07-11 17:20:00,29.57, , , , 
2022-07-11 17:21:00,29.56, , , , 
2022-07-11 17:22:00,29.57, , , , 
2022-07-11 17:23:00,29.56, , , , 
2022-07-11 17:24:00,29.54, , , , 
2022-07-11 17:25:00,29.52, , , , 
2022-07-11 17:26:00,29.54, , , , 
2022-07-11 17:27:00,29.57, , , , 
2022-07-11 17:28:00,29.59, , , , 
2022-07-11 17:29:00,29.57, , , , 
2022-07-11 17:30:00,29.54, , , , 
2022-07-11 17:31:00,29.53, , , , 
2022-07-11 17:32:00,29.54, , , , 
2022-07-11 17:33:00,29.59, , , , 
2022-07-11 17:34:00,29.58, , , , 
2022-07-11 17:35:00,29.57, , , , 
2022-07-11 17:36:00,29.58, , , , 
2022-07-11 17:37:00,29.58, , , , 
2022-07-11 17:38:00,29.58, , , , 
2022-07-11 17:39:00,29.58, , , , 
2022-07-11 17:40:00,29.61, , , , 
2022-07-11 17:41:00,29.58, , , , 
2022-07-11 17:42:00,29.53, , , , 
2022-07-11 17:43:00,29.49, , , , 
2022-07-11 17:44:00,29.48, , , , 
2022-07-11 17:45:00,29.48, , , , 
2022-07-11 17:46:00,29.47, , , , 
2022-07-11 17:47:00,29.50, , , , 
2022-07-11 17:48:00,29.48, , , , 
2022-07-11 17:49:00,29.47, , , , 
2022-07-11 17:50:00,29.47, , , , 
2022-07-11 17:51:00,29.52, , , , 
2022-07-11 17:52:00,29.54, , , , 
2022-07-11 17:53:00,29.54, , , , 
2022-07-11 17:54:00,29.57, , , , 
2022-07-11 17:55:00,29.56, , , , 
2022-07-11 17:56:00,29.58, , , , 
2022-07-11 17:57:00,29.59, , , , 
2022-07-11 17:58:00,29.60, , , , 
2022-07-11 17:59:00,29.62, , , , 
2022-07-11 18:00:00,29.59, , , , 
2022-07-11 18:01:00,29.61, , , , 
2022-07-11 18:02:00,29.63, , , , 
2022-07-11 18:03:00,29.62, , , , 
2022-07-11 18:04:00,29.65, , , , 
2022-07-11 18:05:00,29.59, , , , 
2022-07-11 18:06:00,29.56, , , , 
2022-07-11 18:07:00,29.50, , , , 
2022-07-11 18:08:00,29.49, , , , 
2022-07-11 18:09:00,29.47, , , , 
2022-07-11 18:10:00,29.46, , , , 
2022-07-11 18:11:00,29.48, , , , 
2022-07-11 18:12:00,29.46, , , , 
2022-07-11 18:13:00,29.44, , , , 
2022-07-11 18:14:00,29.44, , , , 
2022-07-11 18:15:00,29.45, , , , 
2022-07-11 18:16:00,29.47, , , , 
2022-07-11 18:17:00,29.45, , , , 
2022-07-11 18:18:00,29.44, , , , 
2022-07-11 18:19:00,29.43, , , , 
2022-07-11 18:20:00,29.43, , , , 
2022-07-11 18:21:00,29.46, , , , 
2022-07-11 18:22:00,29.48, , , , 
2022-07-11 18:23:00,29.49, , , , 
2022-07-11 18:24:00,29.49, , , , 
2022-07-11 18:25:00,29.44, , , , 
2022-07-11 18:26:00,29.45, , , , 
2022-07-11 18:27:00,29.44, , , , 
2022-07-11 18:28:00,29.45, , , , 
2022-07-11 18:29:00,29.46, , , , 
2022-07-11 18:30:00,29.45, , , , 
2022-07-11 18:31:00,29.46, , , , 
2022-07-11 18:32:00,29.46, , , , 
2022-07-11 18:33:00,29.45, , , , 
2022-07-11 18:34:00,29.47, , , , 
2022-07-11 18:35:00,29.46, , , , 
2022-07-11 18:36:00,29.46, , , , 
2022-07-11 18:37:00,29.46, , , , 
2022-07-11 18:38:00,29.46, , , , 
2022-07-11 18:39:00,29.46, , , , 
2022-07-11 18:40:00,29.43, , , , 
2022-07-11 18:41:00,29.37, , , , 
2022-07-11 18:42:00,29.34, , , , 
2022-07-11 18:43:00,29.32, , , , 
2022-07-11 18:44:00,29.33, , , , 
2022-07-11 18:45:00,29.33, , , , 
2022-07-11 18:46:00,29.30, , , , 
2022-07-11 18:47:00,29.28, , , , 
2022-07-11 18:48:00,29.27, , , , 
2022-07-11 18:49:00,29.27, , , , 
2022-07-11 18:50:00,29.32, , , , 
2022-07-11 18:51:00,29.34, , , , 
2022-07-11 18:52:00,29.32, , , , 
2022-07-11 18:53:00,29.34, , , , 
2022-07-11 18:54:00,29.32, , , , 
2022-07-11 18:55:00,29.31, , , , 
2022-07-11 18:56:00,29.33, , , , 
2022-07-11 18:57:00,29.34, , , , 
2022-07-11 18:58:00,29.34, , , , 
2022-07-11 18:59:00,29.31, , , , 
2022-07-11 19:00:00,29.28, , , , 
2022-07-11 19:01:00,29.30, , , , 
2022-07-11 19:02:00,29.29, , , , 
2022-07-11 19:03:00,29.32, , , , 
2022-07-11 19:04:00,29.33, , , , 
2022-07-11 19:05:00,29.34, , , , 
2022-07-11 19:06:00,29.31, , , , 
2022-07-11 19:07:00,29.32, , , , 
2022-07-11 19:08:00,29.30, , , , 
2022-07-11 19:09:00,29.30, , , , 
2022-07-11 19:10:00,29.28, , , , 
2022-07-11 19:11:00,29.27, , , , 
2022-07-11 19:12:00,29.28, , , , 
2022-07-11 19:13:00,29.26, , , , 
2022-07-11 19:14:00,29.28, , , , 
2022-07-11 19:15:00,29.24, , , , 
2022-07-11 19:16:00,29.20, , , , 
2022-07-11 19:17:00,29.19, , , , 
2022-07-11 19:18:00,29.19, , , , 
2022-07-11 19:19:00,29.21, , , , 
2022-07-11 19:20:00,29.20, , , , 
2022-07-11 19:21:00,29.20, , , , 
2022-07-11 19:22:00,29.20, , , , 
2022-07-11 19:23:00,29.17, , , , 
2022-07-11 19:24:00,29.17, , , , 
2022-07-11 19:25:00,29.17, , , , 
2022-07-11 19:26:00,29.20, , , , 
2022-07-11 19:27:00,29.20, , , , 
2022-07-11 19:28:00,29.19, , , , 
2022-07-11 19:29:00,29.20, , , , 
2022-07-11 19:30:00,29.21, , , , 
2022-07-11 19:31:00,29.21, , , , 
2022-07-11 19:32:00,29.20, , , , 
2022-07-11 19:33:00,29.21, , , , 
2022-07-11 19:34:00,29.20, , , , 
2022-07-11 19:35:00,29.23, , , , 
2022-07-11 19:36:00,29.24, , , , 
2022-07-11 19:37:00,29.27, , , , 
2022-07-11 19:38:00,29.23, , , , 
2022-07-11 19:39:00,29.19, , , , 
2022-07-11 19:40:00,29.21, , , , 
2022-07-11 19:41:00,29.20, , , , 
2022-07-11 19:42:00,29.22, , , , 
2022-07-11 19:43:00,29.20, , , , 
2022-07-11 19:44:00,29.18, , , , 
2022-07-11 19:45:00,29.17, , , , 
2022-07-11 19:46:00,29.13, , , , 
2022-07-11 19:47:00,29.18, , , , 
2022-07-11 19:48:00,29.20, , , , 
2022-07-11 19:49:00,29.21, , , , 
2022-07-11 19:50:00,29.21, , , , 
2022-07-11 19:51:00,29.21, , , , 
2022-07-11 19:52:00,29.20, , , , 
2022-07-11 19:53:00,29.23, , , , 
2022-07-11 19:54:00,29.23, , , , 
2022-07-11 19:55:00,29.23, , , , 
2022-07-11 19:56:00,29.21, , , , 
2022-07-11 19:57:00,29.20, , , , 
2022-07-11 19:58:00,29.22, , , , 
2022-07-11 19:59:00,29.24, , , , 
2022-07-11 20:00:00,29.20, , , , 
2022-07-11 20:01:00,29.18, , , , 
2022-07-11 20:02:00,29.16, , , , 
2022-07-11 20:03:00,29.14, , , , 
2022-07-11 20:04:00,29.18, , , , 
2022-07-11 20:05:00,29.15, , , , 
2022-07-11 20:06:00,29.16, , , , 
2022-07-11 20:07:00,29.13, , , , 
2022-07-11 20:08:00,29.13, , , , 
2022-07-11 20:09:00,29.12, , , , 
2022-07-11 20:10:00,29.15, , , , 
2022-07-11 20:11:00,29.15, , , , 
2022-07-11 20:12:00,29.16, , , , 
2022-07-11 20:13:00,29.17, , , , 
2022-07-11 20:14:00,29.16, , , , 
2022-07-11 20:15:00,29.15, , , , 
2022-07-11 20:16:00,29.16, , , , 
2022-07-11 20:17:00,29.16, , , , 
2022-07-11 20:18:00,29.15, , , , 
2022-07-11 20:19:00,29.16, , , , 
2022-07-11 20:20:00,29.18, , , , 
2022-07-11 20:21:00,29.17, , , , 
2022-07-11 20:22:00,29.14, , , , 
2022-07-11 20:23:00,29.08, , , , 
2022-07-11 20:24:00,29.11, , , , 
2022-07-11 20:25:00,29.08, , , , 
2022-07-11 20:26:00,29.08, , , , 
2022-07-11 20:27:00,29.07, , , , 
2022-07-11 20:28:00,29.06, , , , 
2022-07-11 20:29:00,29.08, , , , 
2022-07-11 20:30:00,29.04, , , , 
2022-07-11 20:31:00,29.02, , , , 
2022-07-11 20:32:00,29.05, , , , 
2022-07-11 20:33:00,29.05, , , , 
2022-07-11 20:34:00,29.05, , , , 
2022-07-11 20:35:00,29.07, , , , 
2022-07-11 20:36:00,29.07, , , , 
2022-07-11 20:37:00,29.06, , , , 
2022-07-11 20:38:00,29.07, , , , 
2022-07-11 20:39:00,29.09, , , , 
2022-07-11 20:40:00,29.08, , , , 
2022-07-11 20:41:00,29.12, , , , 
2022-07-11 20:42:00,29.12, , , , 
2022-07-11 20:43:00,29.12, , , , 
2022-07-11 20:44:00,29.15, , , , 
2022-07-11 20:45:00,29.12, , , , 
2022-07-11 20:46:00,29.14, , , , 
2022-07-11 20:47:00,29.11, , , , 
2022-07-11 20:48:00,29.12, , , , 
2022-07-11 20:49:00,29.11, , , , 
2022-07-11 20:50:00,29.14, , , , 
2022-07-11 20:51:00,29.13, , , , 
2022-07-11 20:52:00,29.13, , , , 
2022-07-11 20:53:00,29.13, , , , 
2022-07-11 20:54:00,29.16, , , , 
2022-07-11 20:55:00,29.16, , , , 
2022-07-11 20:56:00,29.16, , , , 
2022-07-11 20:57:00,29.16, , , , 
2022-07-11 20:58:00,29.17, , , , 
2022-07-11 20:59:00,29.18, , , , 
2022-07-11 21:00:00,29.17, , , , 
2022-07-11 21:01:00,29.15, , , , 
2022-07-11 21:02:00,29.16, , , , 
2022-07-11 21:03:00,29.16, , , , 
2022-07-11 21:04:00,29.14, , , , 
2022-07-11 21:05:00,29.18, , , , 
2022-07-11 21:06:00,29.20, , , , 
2022-07-11 21:07:00,29.21, , , , 
2022-07-11 21:08:00,29.22, , , , 
2022-07-11 21:09:00,29.20, , , , 
2022-07-11 21:10:00,29.22, , , , 
2022-07-11 21:11:00,29.23, , , , 
2022-07-11 21:12:00,29.19, , , , 
2022-07-11 21:13:00,29.19, , , , 
2022-07-11 21:14:00,29.19, , , , 
2022-07-11 21:15:00,29.19, , , , 
2022-07-11 21:16:00,29.18, , , , 
2022-07-11 21:17:00,29.20, , , , 
2022-07-11 21:18:00,29.20, , , , 
2022-07-11 21:19:00,29.16, , , , 
2022-07-11 21:20:00,29.14, , , , 
2022-07-11 21:21:00,29.15, , , , 
2022-07-11 21:22:00,29.16, , , , 
2022-07-11 21:23:00,29.18, , , , 
2022-07-11 21:24:00,29.21, , , , 
2022-07-11 21:25:00,29.20, , , , 
2022-07-11 21:26:00,29.19, , , , 
2022-07-11 21:27:00,29.20, , , , 
2022-07-11 21:28:00,29.19, , , , 
2022-07-11 21:29:00,29.20, , , , 
2022-07-11 21:30:00,29.18, , , , 
2022-07-11 21:31:00,29.18, , , , 
2022-07-11 21:32:00,29.18, , , , 
2022-07-11 21:33:00,29.20, , , , 
2022-07-11 21:34:00,29.18, , , , 
2022-07-11 21:35:00,29.17, , , , 
2022-07-11 21:36:00,29.14, , , , 
2022-07-11 21:37:00,29.14, , , , 
2022-07-11 21:38:00,29.17, , , , 
2022-07-11 21:39:00,29.19, , , , 
2022-07-11 21:40:00,29.23, , , , 
2022-07-11 21:41:00,29.23, , , , 
2022-07-11 21:42:00,29.22, , , , 
2022-07-11 21:43:00,29.21, , , , 
2022-07-11 21:44:00,29.21, , , , 
2022-07-11 21:45:00,29.21, , , , 
2022-07-11 21:46:00,29.21, , , , 
2022-07-11 21:47:00,29.21, , , , 
2022-07-11 21:48:00,29.19, , , , 
2022-07-11 21:49:00,29.20, , , , 
2022-07-11 21:50:00,29.21, , , , 
2022-07-11 21:51:00,29.21, , , , 
2022-07-11 21:52:00,29.18, , , , 
2022-07-11 21:53:00,29.18, , , , 
2022-07-11 21:54:00,29.20, , , , 
2022-07-11 21:55:00,29.22, , , , 
2022-07-11 21:56:00,29.24, , , , 
2022-07-11 21:57:00,29.29, , , , 
2022-07-11 21:58:00,29.32, , , , 
2022-07-11 21:59:00,29.37, , , , 
2022-07-11 22:00:00,29.42, , , , 
2022-07-11 22:01:00,29.48, , , , 
2022-07-11 22:02:00,29.54, , , , 
2022-07-11 22:03:00,29.62, , , , 
2022-07-11 22:04:00,29.64, , , , 
2022-07-11 22:05:00,29.65, , , , 
2022-07-11 22:06:00,29.61, , , , 
2022-07-11 22:07:00,29.49, , , , 
2022-07-11 22:08:00,29.32, , , , 
2022-07-11 22:09:00,29.16, , , , 
2022-07-11 22:10:00,29.05, , , , 
2022-07-11 22:11:00,29.00, , , , 
2022-07-11 22:12:00,28.98, , , , 
2022-07-11 22:13:00,28.98, , , , 
2022-07-11 22:14:00,28.95, , , , 
2022-07-11 22:15:00,28.98, , , , 
2022-07-11 22:16:00,28.97, , , , 
2022-07-11 22:17:00,28.99, , , , 
