Tank_ID,TempTreatment,pHTreament,Heater_watts,Top_Bottom,StepAC,StepDoor
TNK_2,14,Low,200,Top,7,2
TNK_3,16,Low,200,Bottom,8,1
TNK_4,18,Low,200,Bottom,7,2
TNK_5,20,Low,400,Top,5,4
TNK_6,22,Low,400,Top,4,5
TNK_7,24,Low,600,Bottom,5,4
TNK_8,26,Low,700,Bottom,4,5
TNK_9,12,Low,200,Top,2,7
TNK_10,14,Ambient,200,Top,1,8
TNK_11,16,Ambient,200,Bottom,2,7
TNK_12,18,Ambient,200,Bottom,1,8
TNK_13,20,Ambient,300,Top,2,7
TNK_14,22,Ambient,400,Top,3,6
TNK_15,24,Ambient,600,Bottom,2,7
TNK_16,26,Ambient,700,Bottom,3,6
TNK_18,12,Ambient,200,Top,8,3
TNK_SMP,10,NA,NA,NA,NA,NA
TNK_AIR,24,NA,NA,NA,NA,NA